Название,Описание,Граммовка,Фотка,Фото-ссылка,Состав,Теги
"""Бистро"" Картофель фри с кетчупом",Классический картофель фри. Подаётся с кетчупом.,150/30 гр.,,,,
Шу,"Заварное пирожное с кремом патисьер, шоколадным соусом и ванильным мороженым.",60/60/50/20/50 гр.,,,,
Фирменное сливочное мороженое с ржаным хлебом,"Оригинальный десерт собственного производства, сливочное мороженое с хлебной ржаной крошкой и изюмом.",135 гр.,,,,
Горячий шоколадный кекс,"Запечённый шоколадный кекс с мягкой сердцевиной, украшается шариком мороженого, сахарной пудрой и шоколадной буквой В",,,,,
Десерт Павлова,"Воздушная меренга, промазанная кремом патисьер с черной смородиной (посыпается пудрой из сушенной смородины и вишни).",105 гр.,,,,
"""Бистро"" Салат с баклажанами, томатами и сырным соусом","Салат с хрустящими баклажанами, свежими томатами, творожным сыром, зеленью и кисло-сладкой заправкой.",300 гр.,,,"перец болгарский, красный лук, помидоры свежие, кинза, баклажан, сыр творожный, сыр Фета, крахмал, соль. соус для баклажанов: имбирь, чеснок, соевый соус, кисло-сладкий соус",
"""Бистро"" Севиче из тунца с томатами и начос","Состав: филе тунца, помидоры свежие, лук красный, соль, лайм, соус шрирача, масло растительное, кинза, чипсы начос",190 гр.,,,,
"""Бистро"" Фламмкухен с пепперони","Горячая пицца на тонком тесте, промазывается сметаной с добавлением соуса халапеньо, томатов, с сыром моцарелла, луком порей и салями пепперони. ",170 гр.,,,"лук порей очищенный, базилик, колбаски пеперони, сыр, помидоры свежие, соус халапеньо, сметана, лепешка тортилья",
"""Бистро"" Лепешка Роти с тунцом и сырным соусом","Состав: филе тунца, соус кисло-сладкий, икра летучей рыбы, лепешка роти, огурцы свежие, кинза, соус шрирача, сыр творожный, сыр Фета
",160 гр.,,,"филе тунца, соус кисло-сладкий, икра летучей рыбы, лепешка роти, огурцы свежие, кинза, соус шрирача, сыр творожный, сыр Фета",
"""Бистро"" Окрошка на квасе с говядиной","Состав: говядина отварная, квас домашний, хрен сливочный, соль, сметана, горчица, зелень очищенная (лук, укроп), яйцо, редис, картофель отварной, огурцы свежие",365 гр.,,,,
"""Бистро"" Оладьи из цыпленка с грибным соусом","Состав: куриные оладьи, масло растительное, соус (шампиньоны свежие, масло растительное, бульон, сливки, чеснок), зелень (петрушка, укроп, лук), лук красный, перец, руккола",340 гр.,,,,
"""Бистро"" Бифштекс из говядины с трюфельным соусом","Состав: котлета, масло растительное, трюфельная паста, трюфельный соус, сливки, соус соевый, зелень, соль, яйцо пашот, хлеб",370 гр.,,,,
"""Бистро"" Батат фри с кетчупом","Состав: фри батат, соль, кетчуп",190 гр.,,,,
"""Бистро"" Тигровые креветки в сливочно-чесночном соусе","Состав: креветки тигровые, соль, томаты черри, масло растительное, чеснок, сливки, зелень, хлеб",340 гр.,,,,
"""Бистро"" Картофель фри с соусом чеддер и пепперони","Состав: картофель фри, сыр чеддер, сливки, колбаски пепперони, сыр пармезан, петрушка, укроп, лук зелёный 
",190 гр.,,,,
"""Бистро"" Ассорти к пиву","Состав: крокеты картофельные, сыр фри, сыр косичка жареный, наггетсы, картофель фри, гренки, соус айоли, соус сырно-чесночный, соус барбекю",650 гр.,,,,
